ID	Rotatable bond count	logP	Polar surface area	acceptorcount	donorcount	Mass
11968930	5	4.14	48.99	3	1	387.406
11970153	5	3.21	58.73	4	1	366.461
12035227	6	4.66	23.55	2	0	406.90
12043350	5	5.09	24.30	3	0	388.559
12053443	7	4.65	19.37	3	0	357.586
12056718	3	4.52	32.26	4	0	366.53
12068801	8	4.25	55.20	4	0	441.57
12084477	7	5.35	53.60	3	2	388.53
12110126	5	3.46	26.79	3	0	404.00
12120592	3	3.97	38.77	4	0	367.489
12225852	5	3.60	46.84	4	0	419.54
12230949	4	3.95	70.84	4	1	363.465
12237781	8	3.97	62.39	4	1	351.450
12259240	6	4.22	61.80	4	2	434.511
12300888	7	4.72	45.33	2	1	376.500
12318210	6	4.10	45.15	5	0	373.504
12343667	5	3.68	42.50	3	2	375.94
12373427	9	4.51	15.71	3	0	406.493
12377767	7	3.09	44.81	4	1	425.617
12396735	5	5.55	51.02	3	0	426.495
12400695	8	4.58	15.71	3	0	388.503
12408197	5	4.70	23.47	2	1	365.85
12411606	4	4.26	32.78	3	0	418.56
12426770	6	4.39	32.70	3	1	377.88
12439376	5	4.77	41.74	4	0	391.515
12460230	3	2.70	62.14	5	1	320.396
12473060	9	2.74	68.09	5	0	398.58
12512137	4	3.46	41.57	3	1	344.84
12519315	6	4.74	38.50	3	0	416.444
12527057	7	5.36	32.70	3	1	453.56
12610152	11	4.08	47.36	3	0	383.536
12654542	5	5.16	9.72	3	0	421.484
12664919	11	2.56	64.96	5	3	390.568
12693829	4	4.37	48.99	3	1	367.88
12707738	5	2.94	67.10	7	0	435.528
12730653	5	2.77	68.46	4	0	363.417
12747119	8	4.16	15.71	3	0	332.532
12774968	4	4.35	36.44	3	0	423.560
12788952	5	3.99	55.20	3	0	429.564
12817536	7	3.78	50.16	3	1	406.505
12844752	8	3.87	56.90	4	1	391.450
12883993	10	5.03	24.94	4	0	418.529
12888411	6	4.58	59.50	3	0	438.475
12908692	3	3.66	58.04	6	0	396.498
12920521	3	2.94	26.71	3	1	294.483
12931419	8	3.58	54.46	4	1	419.569
12945671	5	4.40	46.09	4	0	375.92
12951333	7	1.63	84.94	4	1	362.426
12974289	4	3.61	47.73	4	0	366.461
12998297	8	4.19	56.59	5	0	433.552
13065215	5	3.94	62.39	4	1	425.532
13104754	7	3.25	49.50	3	1	346.42
13132533	5	3.48	71.09	3	1	358.401
13168577	6	3.46	71.62	5	1	405.92
13169616	5	4.42	32.34	2	1	352.453
13177981	3	4.15	23.55	2	0	384.88
13181742	6	4.10	47.36	4	0	391.515
13223023	6	3.71	31.40	4	1	392.591
13227935	4	3.99	32.78	3	0	414.91
13241338	5	4.49	36.44	4	0	389.94
13282878	4	4.27	28.18	5	0	393.531
13319156	6	3.48	23.55	2	0	370.512
13336600	6	3.24	59.08	4	0	424.541
13416638	7	3.73	49.85	3	0	420.98
13429324	6	4.41	44.81	3	1	354.457
13433324	6	4.43	28.18	5	0	429.99
13463847	8	4.54	38.50	3	0	364.489
13501592	6	3.62	64.28	5	0	384.86
13504482	7	3.84	19.37	3	0	357.93
13511253	6	2.96	75.19	4	1	428.536
13521960	8	4.41	42.68	2	0	355.478
13531326	3	4.00	55.84	4	0	385.84
13533475	6	4.50	32.70	3	1	381.53
13543295	8	2.08	104.30	6	1	407.430
13566422	5	4.09	50.16	3	1	440.95
13629326	6	4.59	26.71	3	1	396.550
13632516	4	4.41	20.31	2	0	325.375
13660232	7	4.70	41.93	4	1	424.36
13670809	6	4.03	26.71	3	1	358.91
13670901	8	3.92	47.36	3	0	389.92
13688076	8	4.31	45.40	4	0	396.510
13698570	3	4.78	49.33	4	0	390.531
13702150	9	3.71	26.79	3	0	399.623
13715058	8	3.83	58.73	4	1	406.526
13718184	3	2.84	68.34	3	0	365.433
13742102	4	4.26	9.72	3	0	335.92
13747469	5	3.40	53.94	5	1	337.471
13760373	7	4.94	23.55	2	0	440.458
13770768	8	4.71	40.85	3	0	426.564
13826112	7	3.89	62.39	4	1	365.477
13827459	5	3.47	50.50	3	0	396.89
13829337	7	4.55	67.87	3	1	410.514
13833666	10	3.42	53.96	5	2	410.96
13844406	8	4.07	23.55	3	0	388.55
13845029	5	4.15	45.23	3	1	389.474
13853520	6	3.91	63.69	5	1	411.52
13873667	10	4.60	24.94	4	0	414.565
13902878	3	4.30	38.50	3	0	372.82
13986768	6	4.09	55.05	4	0	412.416
13993344	7	4.07	35.94	4	1	404.502
14003461	6	2.69	51.39	4	0	281.74
14039875	6	3.73	18.51	3	1	343.559
14065717	6	4.25	70.90	4	2	400.50
14070035	3	3.07	29.95	4	1	395.57
14102162	4	3.88	45.40	4	0	368.87
14106092	7	3.71	26.71	3	1	384.46
14130214	8	4.34	47.73	4	0	380.488
14130277	8	5.43	66.49	4	2	437.470
14157234	3	3.07	45.40	4	0	318.81
14158672	6	3.92	59.31	6	0	444.514
14238391	4	4.80	29.27	2	0	368.428
14241266	8	4.81	45.40	4	0	410.485
14319399	6	4.60	49.94	3	2	359.83
14342454	5	3.15	52.65	3	1	405.542
14342913	8	3.66	64.86	5	1	417.488
14366143	5	4.20	41.57	3	1	410.58
14382924	5	4.11	61.02	3	2	410.521
14386545	5	4.92	23.47	2	1	343.90
14399950	4	4.26	49.85	4	0	426.94
14421657	5	4.69	42.16	3	0	401.433
14437378	6	3.79	32.70	3	1	343.442
14440261	5	3.83	42.68	3	0	327.424
14454046	9	4.02	41.93	4	1	381.516
14456728	4	3.17	79.38	5	2	338.390
14471606	6	3.80	47.73	4	0	396.462
14473729	5	3.84	42.16	3	0	379.52
14489704	4	3.69	58.81	4	0	405.498
14533838	7	4.07	48.31	4	1	367.47
14571498	6	4.24	38.50	3	0	336.435
14591627	6	3.69	57.54	5	1	377.444
14597044	8	4.70	37.19	4	0	423.99
14617455	10	3.94	34.17	5	0	412.574
14622964	8	4.53	49.58	3	0	397.563
14630728	6	5.11	49.25	4	1	423.560
14652033	4	2.87	63.91	3	0	387.43
14775474	7	4.00	59.39	3	1	394.450
14779779	7	3.87	41.93	4	1	393.527
14787305	7	4.77	46.61	2	0	397.53
14805799	5	3.91	63.94	4	1	404.466
14868249	7	4.46	6.48	2	0	400.55
14876683	4	3.38	50.27	3	0	354.83
14894963	4	1.92	69.72	4	1	381.407
14896767	5	3.47	42.01	4	0	430.548
14905393	7	3.59	39.60	4	1	393.506
14928165	7	3.50	26.71	3	1	372.94
14936436	7	3.90	56.13	2	1	365.408
14941968	7	4.95	32.70	3	1	367.533
14956350	10	4.21	35.94	4	1	416.99
14985256	5	4.48	42.16	3	0	355.50
14990108	8	4.65	43.70	3	2	391.555
14995202	7	4.33	56.07	4	0	399.498
15001247	5	3.47	45.40	4	0	412.48
15013709	4	3.15	54.19	4	1	326.375
15064354	5	3.89	54.19	4	1	368.87
15096884	6	4.50	41.29	3	1	395.93
15122090	7	4.14	42.76	5	0	446.595
15134406	8	2.84	85.59	5	1	428.45
15165179	10	3.98	34.17	5	0	412.574
15206245	6	4.12	62.39	4	1	327.428
15229637	5	4.54	23.47	2	1	365.85
15233450	11	5.50	49.77	3	1	473.536
15249267	7	5.11	23.55	2	0	396.96
15262537	6	5.09	38.50	3	0	370.51
15287721	4	4.13	58.29	5	0	349.438
15303190	5	3.68	37.38	2	0	321.420
15359589	7	3.69	64.28	5	0	418.420
15415806	6	4.76	46.34	3	0	374.91
15431455	5	3.60	60.25	4	0	380.423
15436484	6	4.19	38.77	4	0	373.88
15454733	5	4.05	23.55	2	0	366.549
15454965	4	4.85	49.74	3	1	419.532
15471331	7	3.22	43.09	4	1	446.03
15471804	5	2.69	58.29	5	0	381.50
15495092	9	4.34	33.53	4	0	418.585
15499039	7	4.08	41.05	4	1	400.501
15499040	9	4.91	38.77	3	0	381.516
15591506	6	4.19	38.77	4	0	373.88
15622107	8	3.84	45.17	5	1	434.580
15625510	5	4.55	49.77	4	1	373.88
15629560	6	4.77	55.63	4	1	403.91
15685147	6	3.28	49.85	3	0	412.453
15710229	4	3.98	60.25	4	0	368.481
15733102	6	4.73	32.34	2	1	390.55
15757381	5	3.86	49.50	3	1	382.89
15757921	7	2.76	68.04	5	0	399.491
15836835	7	4.15	29.95	4	1	435.656
15837038	8	5.05	32.78	3	0	448.530
15838513	6	3.86	45.23	3	1	405.56
15845297	4	3.85	32.78	3	0	396.92
15852610	7	4.20	32.51	3	0	395.57
15916003	6	4.81	49.94	3	2	369.468
15926063	4	3.16	45.40	4	0	378.92
15963658	7	4.05	39.60	4	1	409.96
16028418	6	3.37	62.47	4	0	418.541
16050352	3	4.04	37.38	2	0	331.84
16064865	7	4.55	49.50	3	1	450.52
16070276	11	4.29	37.83	5	0	437.507
16087551	4	4.11	6.48	2	0	334.455
16101588	6	5.28	23.55	2	0	414.58
16102874	6	3.86	52.49	5	1	414.98
16138598	7	3.60	50.16	3	1	394.563
16149924	5	3.99	38.13	3	0	373.500
16163534	6	2.68	64.80	4	0	382.82
16234624	4	4.38	41.37	3	0	426.564
16273520	7	3.99	49.50	3	1	376.500
16285295	8	3.75	38.77	3	0	359.510
16318011	4	2.50	54.26	4	0	331.464
16361620	3	3.22	55.57	3	0	342.78
16381567	7	4.16	41.29	3	1	341.499
16396226	5	4.42	30.29	3	0	351.425
16406537	6	4.87	49.74	3	1	385.515
16422838	10	4.37	26.79	3	0	447.667
16424339	7	3.62	22.61	4	0	433.06
16491995	7	3.91	45.40	4	0	382.483
16495278	7	5.75	78.62	4	3	439.563
16519441	6	4.03	52.15	3	2	421.440
16554727	5	4.42	32.51	3	0	393.55
16562669	6	3.37	35.94	4	1	372.553
16566902	6	4.78	41.05	4	1	368.484
16567367	9	5.17	32.26	4	0	438.619
16599179	5	4.02	67.52	6	0	433.487
16600667	5	4.33	33.20	3	0	356.469
16629164	6	3.86	35.94	4	1	360.542
16646292	5	4.56	38.50	3	0	400.88
16660050	5	4.54	36.10	2	1	364.51
16673009	7	4.47	49.94	3	2	359.83
16695825	4	3.72	44.61	4	0	437.97
16702830	8	3.52	45.59	4	1	374.54
16717845	7	4.07	35.94	4	1	404.502
16723789	5	4.58	58.56	5	0	434.584
16774311	9	5.20	23.55	2	0	392.587
16822611	9	4.81	44.39	4	1	424.633
16828306	4	3.19	35.94	4	1	364.55
16872004	5	4.83	23.47	2	1	323.480
16897979	6	4.16	69.79	5	1	428.540
16906260	5	4.55	49.64	3	1	442.96
16922218	6	4.44	52.66	4	0	387.439
16939615	9	3.47	28.60	4	0	387.95
16971663	6	4.44	42.12	4	0	444.558
16995448	5	3.72	42.43	4	0	374.484
17014148	7	3.98	39.18	5	1	437.628
17031752	4	3.29	53.76	2	0	402.92
17047009	6	4.97	38.88	3	0	403.505
17078090	4	3.65	38.50	3	0	354.373
17090057	6	3.45	58.29	5	0	403.409
17114173	7	4.20	64.80	4	0	406.482
17120480	6	4.50	50.16	3	1	416.569
17132872	5	3.79	62.39	4	1	401.87
17138666	6	3.77	55.57	4	0	396.51
17159859	5	4.06	24.30	3	0	380.580
17180053	8	3.52	28.85	3	0	356.510
17191408	6	3.78	61.20	5	1	384.439
17206589	7	3.20	36.02	4	0	437.628
17257906	5	4.34	29.54	3	0	343.85
17278058	7	3.53	64.28	5	0	418.420
17290455	4	3.70	46.61	3	0	357.83
17294533	6	3.03	49.85	3	0	390.54
17323530	6	3.64	67.35	4	1	420.488
17325514	5	3.92	58.81	4	0	441.531
17333079	8	3.14	68.46	4	0	419.525
17364770	8	3.11	45.17	5	1	384.520
17405202	7	3.46	60.62	5	0	443.547
17443251	9	2.68	64.43	5	0	421.53
17520686	8	4.38	59.00	4	1	417.93
17526128	11	3.36	53.96	5	2	416.58
17536431	8	3.84	28.85	3	0	368.521
17554973	6	4.40	69.39	3	3	369.472
17561571	11	5.03	57.23	5	0	495.539
17586122	7	4.46	41.37	3	0	436.98
17643610	4	4.60	49.33	4	0	378.520
17655973	6	4.45	38.50	3	0	396.92
17658802	6	3.16	46.94	4	2	396.86
17664582	9	3.34	49.85	3	0	394.94
17669894	7	4.23	49.58	3	0	421.516
17734106	7	4.62	36.69	2	0	420.528
17736297	5	3.02	71.95	4	0	409.486
17752752	7	3.58	55.57	3	0	378.420
17791216	7	4.32	56.96	5	0	422.525
17846232	7	5.25	51.97	4	1	438.97
17861720	3	3.27	55.57	3	0	342.439
17865971	6	3.81	32.70	3	1	369.549
17880806	8	3.71	39.60	4	1	391.55
17909183	6	2.53	39.18	5	1	434.02
17950926	7	3.46	58.73	4	1	392.499
17960124	4	3.98	34.40	2	1	305.377
17998511	9	4.31	48.00	4	0	397.515
18000780	4	3.68	6.48	2	0	312.380
18033818	4	4.13	41.37	3	0	388.515
18040415	6	3.99	50.08	3	2	321.424
18043992	6	3.68	47.36	4	0	377.488
18056490	6	3.32	58.37	3	1	345.418
18087725	5	4.26	18.95	4	0	401.502
18106867	5	3.96	40.85	3	0	416.569
18130546	5	4.35	53.68	2	1	425.476
18155028	6	3.16	63.05	4	1	403.530
18187033	5	4.28	54.63	5	0	406.530
18209790	4	1.89	80.16	8	0	377.452
18222967	8	3.51	58.64	4	1	394.57
18238368	5	4.11	64.15	3	1	392.478
18258295	4	3.68	62.39	4	1	369.85
18282610	8	4.28	48.11	4	0	419.504
18308485	8	3.66	59.50	3	0	432.96
18363625	4	4.87	32.34	2	1	394.58
18370889	7	4.63	48.31	4	1	401.510
18390400	9	3.92	28.85	3	0	390.95
18391131	5	4.38	23.47	2	1	367.388
18422521	5	4.74	24.30	3	0	392.57
18441739	8	3.68	26.71	3	1	358.449
18445248	5	3.97	38.13	3	0	359.473
18465925	8	3.14	81.35	5	0	352.394
18467591	5	4.06	32.09	4	0	405.542
18477840	3	3.82	55.20	3	0	387.483
18502154	6	4.73	29.85	2	1	355.48
18513590	8	4.73	47.73	4	0	420.553
18515307	8	4.09	48.83	5	1	437.60
18523204	6	3.37	26.79	3	0	413.62
18567183	12	4.33	34.17	5	0	440.628
18587543	8	5.48	32.26	4	0	432.587
18604521	4	3.99	36.02	4	0	411.521
18612492	2	3.19	62.13	2	1	357.413
18618280	9	3.93	48.83	5	1	437.60
18638336	8	4.79	46.61	3	0	413.94
18689609	7	4.20	75.71	3	1	442.94
18706994	5	4.00	49.77	4	1	373.88
18708033	4	4.00	70.59	5	1	344.422
18745736	5	3.00	38.50	3	0	354.373
18753970	8	3.12	52.65	3	1	399.579
18766896	6	4.67	32.70	3	1	353.506
18780425	4	1.21	51.24	5	0	346.427
18783284	6	3.96	47.36	3	0	389.499
18809947	6	4.56	32.26	4	0	366.53
18826804	9	4.75	24.94	4	0	416.99
18828548	6	4.51	30.29	3	0	367.537
18860033	7	3.24	26.79	3	0	425.540
18860258	9	5.31	59.00	4	1	445.98
18876997	8	4.04	26.71	3	1	344.543
18878814	4	2.41	62.47	4	0	360.502
18898538	6	4.84	38.50	3	0	412.533
18913007	6	4.49	58.12	4	1	418.516
18928514	8	4.01	42.43	3	0	352.478
18931612	6	4.17	47.73	4	0	392.499
19004543	7	3.94	41.93	4	1	389.92
19005901	5	2.34	60.37	6	0	332.379
19026243	5	3.93	49.58	3	0	429.564
19047988	9	4.67	31.84	5	0	437.04
19051418	7	4.32	19.62	2	0	360.93
19066663	7	3.10	56.32	4	0	398.482
19110332	5	5.18	41.37	3	0	442.607
19131734	9	4.67	40.62	3	0	410.533
19132756	6	3.73	49.58	3	0	405.542
19135710	6	4.86	23.47	2	1	355.91
19172662	7	3.66	44.53	4	1	408.521
19193262	7	4.35	46.61	2	0	423.476
19203271	6	4.08	26.71	3	1	398.54
19231273	5	2.19	68.04	5	0	381.432
19233438	5	4.68	30.29	2	0	359.473
19255759	6	4.36	41.15	3	1	361.489
19259683	6	4.73	18.95	4	0	409.549
19267801	7	3.82	70.25	4	2	432.568
19268407	7	3.36	35.94	4	1	374.91
19286027	5	2.27	68.04	5	0	391.85
19288713	7	4.86	32.70	3	1	385.93
19296325	6	3.42	62.39	4	1	335.83
19299629	4	2.01	71.78	2	1	348.374
19311866	6	3.09	58.81	3	0	397.398
19323761	7	4.40	32.70	3	1	369.480
19323994	8	3.04	35.50	5	0	441.68
19362725	5	3.60	42.16	3	0	363.43
19375099	4	4.27	36.44	3	0	415.98
19383745	6	4.36	36.44	4	0	397.46
19438958	7	3.72	73.51	6	0	410.49
19463390	6	4.94	46.84	4	0	389.547
19472279	6	3.34	63.91	4	0	341.459
19483870	8	4.71	67.35	5	1	444.579
19486260	8	4.17	37.39	4	1	387.527
19502908	7	5.14	49.74	3	1	405.590
19513889	7	4.42	29.95	4	1	421.629
19531928	9	5.42	26.71	3	1	439.04
19546868	10	4.08	59.50	3	0	408.542
19593789	8	4.71	67.35	4	1	448.542
19610196	6	3.93	26.79	3	0	437.603
19663137	6	4.07	72.39	4	0	437.92
19688989	5	4.02	67.52	6	0	433.487
19697987	5	4.91	47.67	3	1	415.516
19705633	6	4.79	50.16	3	1	451.01
19707390	4	5.08	37.19	4	0	407.51
19750719	5	4.46	26.79	3	0	383.580
19757599	3	3.04	81.08	5	0	361.405
19779517	6	4.67	51.97	4	1	388.515
19810822	7	3.95	59.98	4	0	379.387
19836134	5	3.87	62.39	4	1	349.86
19882739	9	5.04	59.00	4	1	451.486
19889401	4	3.29	68.46	4	0	405.498
20045574	5	4.03	50.53	4	1	421.585
20048116	5	3.57	72.39	5	0	409.87
20054727	6	3.43	61.44	3	2	405.542
20055427	6	2.67	88.61	6	2	338.415
20056586	10	3.42	53.96	5	2	410.96
20063273	6	2.60	71.70	5	0	426.90
20070162	6	4.36	44.81	3	1	360.48
20085479	5	3.62	31.50	3	1	367.537
20098211	10	4.55	33.53	4	0	450.602
20100972	5	4.05	63.86	6	0	412.87
20123254	5	4.18	58.81	4	0	397.519
20125668	4	3.60	41.57	3	1	362.83
20140683	7	5.37	23.55	2	0	444.94
20142399	7	4.39	48.31	4	1	403.88
20159689	7	3.80	55.57	3	0	356.466
20252879	4	3.23	63.61	7	0	393.422
20282340	4	2.74	46.34	2	0	272.348
20289730	7	4.14	67.35	5	1	430.552
20369811	6	4.40	39.08	3	1	355.87
20401652	8	3.96	59.39	4	1	446.595
20424664	5	4.21	32.78	3	0	410.94
20434784	8	3.68	26.71	3	1	358.449
20450171	5	4.21	26.79	4	0	418.00
20453547	8	3.98	73.39	4	0	416.481
20467134	4	3.43	66.06	3	1	385.467
20473447	7	3.75	58.73	4	1	406.526
20484984	10	4.28	38.77	3	0	401.470
20498648	9	3.82	35.94	4	1	416.99
20530406	5	2.99	49.77	4	1	343.398
20572277	9	4.63	35.94	4	1	416.565
20585905	5	4.28	38.50	3	0	362.473
20607911	6	4.70	41.57	2	1	382.479
20667395	5	4.21	29.95	4	1	399.623
20674529	6	3.83	40.62	2	0	422.613
20716933	9	3.99	54.46	4	1	421.585
20781419	7	4.69	19.37	3	0	417.520
20820155	5	2.88	54.26	4	0	383.471
20851743	8	4.16	64.80	4	0	400.519
20871438	5	3.54	55.57	3	0	404.389
20887300	5	3.26	49.50	3	1	348.446
20913446	6	5.37	52.15	3	2	429.58
20999370	4	4.24	9.72	3	0	445.61
21007771	5	2.83	36.02	3	0	403.542
21048627	5	3.50	62.39	4	1	399.494
21064682	4	3.65	53.68	2	1	349.86
21075071	8	3.59	45.17	5	1	420.553
21092972	6	5.07	45.40	4	0	394.90
21096023	5	3.97	48.00	5	0	387.86
21111924	9	4.35	6.48	2	0	360.441
21120068	5	4.65	30.29	3	0	379.479
21132793	5	3.40	71.70	5	0	448.54
21142219	11	4.35	44.73	4	2	408.517
21148660	6	5.07	55.63	4	1	439.89
21203329	4	4.70	58.53	3	2	403.505
21204965	8	2.91	54.63	5	0	384.403
21225416	6	4.12	47.09	3	0	376.435
21231351	3	4.75	26.79	3	0	415.94
21239163	6	4.86	55.05	4	0	420.516
21253939	5	2.94	58.64	4	1	418.60
21256401	7	3.75	19.37	3	0	337.511
21262715	8	4.15	40.62	2	0	414.97
21305438	5	4.43	40.71	2	2	303.409
21320073	8	4.78	41.29	3	1	389.543
21348813	6	3.94	54.63	5	0	442.563
21351753	6	5.05	49.74	3	1	403.505
21391602	5	3.65	55.13	2	1	338.43
21416316	8	3.25	75.18	4	2	443.551
21466091	9	4.49	33.53	4	0	436.575
21472674	4	4.22	49.94	3	2	339.82
21474345	3	2.58	53.68	2	1	301.386
21484773	8	3.78	35.94	4	1	426.456
21495696	7	5.03	50.16	3	1	448.63
21505967	7	4.20	47.36	4	0	421.56
21510382	5	4.61	41.37	3	0	434.628
21518826	8	5.29	24.30	3	0	429.02
21536943	5	3.71	58.12	4	1	449.00
21551932	3	4.20	52.23	3	1	406.55
21553442	7	4.34	54.26	4	0	423.95
21561552	7	4.07	60.56	4	1	378.524
21569680	5	4.52	50.08	3	2	367.537
21588722	4	3.17	53.09	3	0	405.56
21610038	4	4.66	32.26	4	0	378.54
21612914	3	4.10	6.48	2	0	334.455
21624322	5	4.04	64.53	4	0	421.472
21667820	5	3.67	12.96	4	0	424.556
21693998	6	4.55	39.08	3	1	373.86
21698543	7	4.36	45.84	3	1	391.511
21724506	7	4.09	42.43	3	0	372.89
21742062	5	4.51	45.40	4	0	414.95
21760050	6	3.76	74.16	3	2	392.503
21783441	6	4.12	39.18	5	1	429.99
21783681	8	3.93	26.71	3	1	374.476
21802139	4	4.49	38.50	3	0	404.485
21821508	5	3.42	49.77	4	1	359.85
21838443	10	4.15	57.23	5	0	427.541
21842393	9	4.87	47.73	4	0	406.526
21870184	7	5.20	38.88	3	0	403.505
21876001	4	3.78	48.05	4	1	369.420
21881360	7	3.05	54.46	4	1	443.591
21914261	3	3.80	40.85	3	0	402.94
21949404	3	3.57	26.71	3	1	316.489
21949968	10	3.79	47.36	3	0	369.509
21951615	7	3.65	24.30	3	0	374.96
21979668	10	4.96	24.94	4	0	434.624
22005635	6	3.77	59.31	5	0	426.524
22018705	2	3.05	37.61	2	0	331.82
22019857	6	2.52	54.63	5	0	336.82
22035888	4	3.92	29.54	3	0	367.464
22066412	6	4.05	58.37	3	1	395.52
22070113	5	5.09	40.54	2	1	421.488
22072826	6	4.23	38.50	3	0	376.500
22094037	5	3.96	50.33	4	0	417.488
22126243	8	2.05	64.43	5	0	357.51
22146060	6	3.97	47.36	4	0	393.462
22150408	8	4.31	73.39	4	0	444.535
22158940	4	3.37	49.50	3	1	336.435
22182624	6	3.45	70.25	4	2	390.487
22186368	5	3.35	26.71	3	1	322.51
22190350	6	4.62	88.49	4	2	445.28
22197366	9	4.16	35.94	4	1	382.548
22214516	7	3.30	49.58	3	0	403.526
22217928	4	3.31	58.29	5	0	413.525
22239945	5	5.24	38.13	3	0	399.94
22266649	4	3.76	37.61	3	0	389.52
22281480	6	5.43	41.57	3	1	414.549
22293379	8	3.69	44.81	4	1	436.01
22315646	7	5.30	49.94	3	2	411.428
22330532	7	5.51	62.83	4	2	434.543
22423487	7	4.62	47.73	4	0	426.94
22452655	7	4.50	23.55	2	0	402.94
22456596	5	4.41	64.53	4	0	417.509
22479658	7	4.82	51.97	4	1	418.93
22489243	5	4.37	45.23	3	1	385.511
22499017	7	3.79	45.40	4	0	368.404
22529214	4	3.52	22.61	4	0	370.93
22530796	5	4.78	23.55	2	0	378.53
22556813	4	4.45	48.31	4	1	393.462
22564741	7	4.25	38.13	3	0	391.490
22576823	12	4.00	53.96	5	2	420.98
22635941	4	2.98	63.49	5	0	389.88
22646646	6	3.61	58.73	4	1	392.499
22656633	6	4.00	32.78	3	0	408.586
22665227	5	3.97	38.77	4	0	365.473
22669790	4	3.96	48.30	3	1	372.472
22676809	5	4.92	46.09	4	0	405.44
22707672	5	5.07	49.33	4	0	392.547
22722017	4	4.12	40.54	3	1	365.80
22738594	8	5.11	50.80	4	1	444.575
