id	Rotatable bond count	logP	Polar surface area	acceptorcount	donorcount	Mass
74	15	3.64	278.80	12	5	1202.635
75	8	2.00	78.43	3	3	264.325
76	6	7.45	195.43	12	3	914.187
77	2	4.39	38.77	4	0	395.49
78	5	1.26	77.04	4	1	407.320
79	3	5.35	66.40	3	2	351.446
80	13	3.96	61.80	4	2	390.568
81	15	5.39	190.03	11	2	904.977
82	15	4.11	113.60	4	3	475.630
83	7	2.31	106.34	4	3	376.416
84	4	1.81	95.50	4	3	318.35
85	6	-3.31	103.78	5	4	193.02
86	12	3.37	138.84	6	3	623.795
87	4	2.90	84.22	3	3	351.42
88	11	4.64	91.40	5	2	470.63
89	13	7.49	36.10	1	1	436.615
90	5	2.31	87.84	5	1	304.350
91	10	3.13	171.17	9	3	824.972
92	2	-2.80	128.61	7	4	243.219
93	11	7.31	100.79	9	0	705.64
94	7	4.51	74.68	6	0	547.05
95	5	1.89	59.38	3	0	324.380
96	2	2.92	107.35	6	1	489.61
97	3	2.76	56.79	4	1	311.337
98	6	2.83	133.12	7	0	458.44
99	4	3.86	45.56	3	0	339.398
100	3	1.89	46.17	3	1	247.68
101	1	4.38	30.49	3	1	370.246
102	9	4.82	58.64	3	1	477.40
103	4	3.70	62.18	3	2	298.386
104	4	3.22	62.32	3	2	267.284
105	5	4.73	62.18	3	2	338.79
106	1	4.63	44.62	5	0	387.56
107	6	5.09	49.84	4	2	340.430
108	1	4.57	41.57	2	1	353.22
109	3	1.07	102.45	7	0	454.51
110	7	0.35	123.89	6	0	382.39
111	4	3.33	25.24	2	0	300.377
112	2	1.68	94.83	5	3	392.467
113	5	3.87	39.60	4	1	415.460
114	7	4.62	102.07	7	3	464.59
115	7	4.38	86.28	7	2	493.615
116	3	1.67	89.71	5	2	241.254
117	2	-2.16	120.74	7	3	228.208
118	7	3.99	115.20	7	3	465.34
119	7	3.06	102.93	8	2	521.666
120	7	3.53	97.11	4	3	442.54
121	5	4.15	70.67	3	2	386.47
122	6	4.27	88.41	5	3	457.68
123	3	5.65	73.12	4	0	469.548
124	8	4.20	88.60	5	1	477.46
125	6	4.54	59.51	6	1	475.362
126	6	4.34	92.35	3	3	464.83
127	9	5.93	87.38	5	3	465.638
128	1	-0.28	105.94	5	1	194.154
129	8	5.72	73.22	3	1	413.477
130	2	1.03	84.50	3	2	330.384
131	5	3.37	110.24	5	3	464.489
132	16	8.06	128.36	10	2	974.61
133	3	6.94	37.30	2	1	348.486
134	7	5.36	97.62	6	2	529.527
135	7	2.93	77.23	3	3	398.482
136	9	1.66	58.36	4	1	358.26
137	11	1.88	123.99	8	2	545.629
138	3	6.31	57.53	3	2	398.502
139	5	5.10	68.76	4	2	371.488
140	2	7.46	52.90	4	1	438.571
141	3	5.09	45.15	3	2	302.78
142	14	6.54	56.79	4	1	393.568
143	0	0.04	52.04	2	2	298.03
144	2	1.99	48.13	1	2	259.33
145	5	4.51	43.70	4	0	447.36
146	9	6.90	37.30	2	1	310.437
147	4	2.53	53.60	2	2	292.37
148	3	2.27	63.91	4	0	307.357
149	6	4.89	81.71	4	2	469.420
150	3	6.31	57.53	3	2	398.502
151	3	2.11	98.21	2	3	279.29
152	0	1.73	76.66	4	2	395.278
153	2	4.93	29.10	2	1	303.405
154	2	1.09	60.16	2	1	181.21
155	2	1.87	99.96	5	2	392.411
156	3	1.52	75.43	3	2	343.45
157	3	3.33	55.12	2	2	284.38
158	3	3.93	83.61	4	2	407.477
159	6	2.31	79.99	7	0	412.46
160	9	3.28	116.25	6	2	620.08
161	3	0.95	87.46	3	3	358.46
162	7	1.30	112.43	7	2	513.635
163	7	2.70	130.53	8	2	592.67
164	8	2.24	112.93	7	1	514.64
165	10	2.29	107.38	7	2	568.73
166	7	4.61	99.18	5	2	575.67
167	7	2.70	130.53	8	2	592.67
168	8	3.15	100.04	6	1	565.66
169	6	3.25	87.15	5	1	472.60
170	0	2.01	66.76	3	2	280.364
171	4	5.38	78.92	3	1	434.28
172	19	5.46	159.85	5	5	672.867
173	3	4.20	45.23	2	1	345.446
174	1	1.33	84.12	5	1	360.406
175	6	5.17	83.47	5	1	581.49
176	15	8.05	17.07	1	0	356.473
177	0	4.44	37.30	2	1	369.343
178	4	5.84	38.33	2	1	485.21
179	12	4.20	141.42	4	5	539.65
180	3	1.61	55.13	2	1	234.27
181	6	2.96	130.00	6	3	365.36
182	9	1.53	124.44	6	4	384.24
183	15	7.48	128.13	9	2	813.43
184	2	-2.21	102.59	6	3	228.204
185	2	3.53	84.51	6	1	348.362
186	3	2.54	57.50	3	2	335.407
187	7	2.54	106.92	8	2	521.566
188	13	4.07	135.42	6	1	590.714
189	0	3.07	38.83	2	0	248.322
190	5	3.60	69.90	4	0	278.70
191	10	4.64	108.48	8	3	524.68
192	6	1.42	132.36	7	3	443.52
193	6	2.85	103.78	5	2	478.87
194	8	3.22	164.36	10	4	556.40
195	2	0.45	119.24	7	1	453.53
196	5	3.39	98.83	6	3	463.545
197	5	3.04	64.68	4	2	428.536
198	3	3.97	92.93	4	2	397.390
199	4	2.72	90.47	4	2	334.331
200	8	3.20	68.17	5	2	392.503
201	6	4.52	108.28	6	2	550.546
202	9	3.93	82.33	6	2	371.87
203	0	-0.23	84.71	4	1	445.519
204	6	2.85	102.51	6	4	479.97
205	2	-1.47	108.38	6	3	263.201
206	4	2.94	139.12	6	6	380.356
207	4	1.96	82.08	4	1	434.471
208	3	7.45	180.05	10	5	791.076
209	3	1.77	122.12	4	3	385.84
210	7	0.05	113.44	6	3	402.426
211	5	-0.05	99.18	6	2	427.49
212	3	3.61	125.68	7	4	412.394
213	8	3.85	77.43	5	0	428.87
214	8	-0.01	100.13	6	3	419.522
215	5	1.41	151.48	7	6	357.322
216	5	-0.28	100.57	7	2	419.478
217	5	3.78	89.42	5	3	427.26
218	4	4.69	64.15	3	1	489.40
219	4	4.69	64.15	3	1	489.40
220	2	5.77	16.13	2	0	414.637
221	4	4.26	102.29	6	2	618.34
222	4	5.23	40.71	2	2	347.85
223	7	3.63	128.75	10	3	470.461
224	18	0.49	141.08	7	5	401.544
225	5	-3.72	77.96	5	0	363.396
226	6	4.20	116.13	7	3	461.505
227	4	5.17	66.40	3	2	331.371
228	10	2.13	124.96	5	4	406.479
229	11	4.47	112.40	8	2	557.05
230	6	4.12	93.19	4	2	548.643
231	5	4.83	126.25	6	1	445.431
232	6	3.78	52.74	3	3	328.419
233	8	3.16	62.30	3	1	391.515
234	7	3.17	100.96	9	2	500.607
235	6	4.22	107.74	5	2	454.87
236	8	2.94	100.73	4	2	469.582
237	7	2.32	115.71	8	3	507.539
238	4	2.47	78.01	4	3	317.348
239	2	1.26	101.33	7	0	473.570
240	8	3.60	116.14	5	3	603.764
241	7	2.63	128.28	6	3	567.10
242	8	2.83	120.17	6	3	541.693
243	8	-0.11	117.00	7	2	505.63
244	7	4.33	56.25	5	1	494.46
245	6	1.28	85.35	5	2	420.554
246	6	0.86	99.93	6	2	443.548
247	9	3.62	121.83	8	3	590.677
248	6	2.25	90.90	5	3	417.550
249	7	3.28	124.10	6	3	581.673
250	8	4.10	137.51	7	3	646.76
251	8	2.51	113.46	8	2	546.624
252	7	2.83	128.28	6	3	590.71
253	10	4.42	149.26	7	5	650.780
254	5	-0.95	107.97	6	3	399.51
255	8	0.03	103.37	7	3	462.591
256	6	-0.11	128.28	6	3	484.61
257	9	1.21	131.44	7	4	592.668
258	5	0.99	65.04	5	2	349.475
259	7	4.32	123.24	5	4	615.775
260	6	1.03	102.18	8	1	487.601
261	7	3.26	124.10	6	3	595.700
262	10	4.34	92.29	8	1	562.715
263	15	7.57	57.53	3	2	606.78
264	7	4.96	114.68	7	3	606.841
265	1	-0.40	62.22	3	2	138.126
266	5	-0.02	68.25	6	1	341.415
267	4	0.15	63.68	3	0	183.163
268	4	1.89	115.06	6	4	416.092
269	3	-0.15	49.77	4	1	199.250
270	0	3.32	39.34	2	1	303.365
271	10	4.95	62.75	7	1	509.739
272	4	3.41	128.97	7	3	514.659
273	9	3.66	104.65	6	2	584.74
274	8	0.07	102.93	5	4	396.463
275	13	3.08	128.29	8	4	507.570
276	3	4.51	95.83	3	4	375.407
277	2	0.51	83.80	3	3	244.298
278	8	3.20	90.44	10	1	542.03
279	8	3.76	88.61	7	2	485.94
280	8	4.13	72.50	5	1	450.514
281	9	3.90	88.61	7	2	485.94
282	3	3.14	53.17	2	2	317.392
283	7	4.97	73.39	6	2	498.65
284	4	3.38	81.43	8	0	417.421
285	5	3.42	84.67	4	2	370.384
286	4	2.05	83.53	5	2	334.379
287	9	4.55	102.93	10	2	614.21
288	6	1.89	80.05	4	2	380.53
289	5	2.98	91.92	4	2	413.82
290	4	2.37	57.17	5	1	364.449
291	5	3.53	93.07	9	1	465.554
292	2	2.77	144.06	8	4	346.350
293	2	2.44	71.95	4	1	333.37
294	4	3.44	105.82	5	2	568.09
295	4	2.71	63.49	3	2	296.326
296	5	2.42	97.38	9	1	570.698
297	4	-0.54	100.19	5	3	362.45
298	1	2.46	58.88	1	2	248.71
299	3	3.58	63.41	3	0	380.46
300	6	4.42	110.57	5	2	437.53
301	6	3.36	88.70	3	1	440.88
302	4	3.50	32.34	2	1	352.90
303	10	6.56	47.53	6	1	563.57
304	6	5.81	75.86	5	2	429.54
305	3	2.85	56.79	4	1	309.321
306	5	4.73	92.72	5	0	475.33
307	11	-4.42	158.82	7	5	411.30
308	4	2.77	28.68	1	1	188.31
309	7	4.59	25.85	5	0	429.612
310	16	3.32	133.38	11	0	689.762
311	8	7.99	123.93	6	4	573.70
312	5	3.53	93.07	9	1	465.554
313	1	3.01	47.56	4	1	283.258
314	10	7.94	85.09	5	2	567.693
315	5	3.44	66.48	3	2	346.59
316	5	6.15	61.69	3	2	394.474
317	31	-0.67	288.51	14	8	721.838
318	5	5.26	69.37	4	0	456.99
319	3	1.91	78.43	3	3	256.261
320	4	1.72	84.22	3	3	341.386
321	3	0.93	68.24	4	2	255.325
322	7	3.17	103.44	7	0	469.53
323	8	3.20	84.22	3	3	357.429
324	8	2.79	94.22	6	2	539.636
325	5	3.57	77.99	5	2	450.34
326	12	4.66	111.25	7	2	632.665
327	6	4.49	92.35	3	3	482.82
328	7	5.50	73.39	6	2	481.02
329	7	6.41	63.25	4	2	443.44
330	6	5.41	81.07	3	2	517.60
331	6	2.52	115.57	4	3	426.86
332	4	2.95	75.63	4	2	366.19
333	11	5.70	72.70	4	1	439.563
334	6	4.72	74.35	7	1	582.72
335	0	-0.92	128.48	7	5	307.258
336	7	2.57	98.66	4	4	361.03
337	12	2.80	142.79	6	4	446.504
338	11	4.64	106.35	7	2	581.06
339	3	1.62	84.22	3	3	287.294
340	11	1.87	78.46	10	1	515.703
341	3	3.18	73.79	5	0	359.41
342	6	6.76	63.69	5	1	485.507
343	6	5.50	105.93	8	2	518.93
344	5	2.68	94.47	7	2	408.458
345	4	2.48	83.18	4	1	306.373
346	36	-9.31	627.07	28	20	1415.55
347	4	2.46	107.55	8	1	513.64
348	3	4.00	67.35	4	1	343.434
349	4	1.57	81.33	4	2	361.490
350	8	5.16	106.16	6	2	560.67
351	12	4.06	66.48	3	3	307.478
352	5	3.55	119.03	7	2	437.52
353	8	4.66	91.85	7	2	494.98
354	4	2.19	61.60	3	2	342.418
355	5	2.15	90.62	5	0	424.47
356	6	4.62	91.92	4	2	489.92
357	1	2.63	57.78	3	2	307.397
358	8	4.72	76.62	5	1	543.61
359	57	-9.69	830.89	33	31	1975.44
360	75	-16.82	1128.17	44	42	2430.92
361	63	-13.38	982.41	39	39	2195.64
362	1	3.66	56.28	2	0	227.219
363	6	3.95	88.16	4	2	423.53
364	4	3.32	94.99	5	1	446.503
365	3	3.50	37.81	3	1	271.271
366	4	5.68	37.81	3	1	349.74
367	10	1.93	163.68	9	5	540.669
368	3	3.64	67.01	4	2	391.394
369	7	-0.63	199.44	11	5	585.658
370	9	5.43	84.00	5	1	578.713
371	9	4.49	66.84	5	1	465.61
372	7	3.22	113.08	7	3	491.49
373	5	5.15	55.40	3	1	381.431
374	4	3.31	79.19	3	1	313.13
375	2	6.35	32.34	3	1	475.430
376	9	4.94	72.68	4	0	396.89
377	9	3.88	59.06	4	1	298.76
378	8	4.87	46.50	3	1	471.524
379	4	6.85	95.67	6	2	467.525
380	4	3.01	81.04	3	1	338.19
381	15	7.58	100.90	5	2	540.741
382	6	3.09	83.06	7	1	452.559
383	5	3.08	64.68	3	2	414.509
384	15	4.95	62.75	7	1	966.73
385	10	4.95	62.75	7	1	846.933
386	8	2.00	78.43	3	3	601.519
387	16	6.56	47.53	6	1	891.99
388	12	4.62	91.92	4	2	947.61
389	15	7.45	195.43	12	3	1298.43
390	10	5.06	85.17	6	1	616.358
391	6	5.04	77.52	3	1	492.591
392	6	6.64	54.37	3	1	364.485
393	50	-9.00	885.38	28	29	2109.466
394	72	-10.64	1056.92	39	38	2647.087
395	7	6.20	49.41	2	1	485.01
396	31	1.62	194.92	8	8	1781.57
397	21	2.80	142.79	6	4	830.75
398	10	2.46	107.55	8	1	971.32
399	11	4.27	88.41	5	3	744.14
400	14	4.27	88.41	5	3	722.01
401	11	5.26	69.37	4	0	914.67
402	16	2.74	150.79	8	5	997.37
403	21	8.06	128.36	10	2	1261.07
404	18	8.06	128.36	10	2	1202.82
405	5	4.69	20.23	1	1	623.653
406	3	3.57	85.73	4	2	371.41
407	6	1.88	131.99	5	1	371.305
408	3	2.69	93.38	5	1	415.453
409	3	2.35	89.71	5	2	326.17
410	7	4.08	146.60	7	4	619.09
411	9	2.57	166.28	8	4	848.899
412	20	2.92	224.45	10	5	1393.588
413	9	3.93	83.61	4	2	865.16
414	22	8.06	128.36	10	2	1464.53
415	11	4.27	88.41	5	3	775.03
416	16	2.57	166.28	8	4	969.94
417	20	8.06	128.36	10	2	1354.97
418	5	1.16	160.83	12	3	925.756
419	9	2.94	139.12	6	6	697.697
420	18	8.06	128.36	10	2	1237.81
421	6	5.72	38.33	1	1	333.431
422	4	5.56	79.29	4	2	448.522
423	6	5.57	79.18	6	1	405.48
424	3	3.83	88.65	6	3	347.43
425	9	6.27	72.63	4	1	517.07
426	5	2.57	81.40	5	1	423.90
427	22	8.06	128.36	10	2	1525.16
428	5	5.26	69.37	4	0	794.18
429	22	8.06	128.36	10	2	1432.30
430	8	4.27	88.41	5	3	685.89
431	2	-2.16	120.74	7	3	565.402
432	14	3.37	110.24	5	3	848.73
433	21	8.06	128.36	10	2	1431.60
434	11	5.26	69.37	4	0	899.89
435	26	8.06	128.36	10	2	1514.29
436	11	4.62	91.92	4	2	884.40
437	26	8.06	128.36	10	2	1484.35
438	10	2.74	150.79	8	5	876.875
439	21	8.06	128.36	10	2	1518.14
440	16	4.95	62.75	7	1	967.42
441	22	8.06	128.36	10	2	1493.54
442	22	8.06	128.36	10	2	1439.44
443	21	8.06	128.36	10	2	1291.95
444	0	1.44	81.77	5	0	224.179
445	7	4.67	69.20	5	1	453.590
446	2	-0.29	119.31	7	3	303.68
447	24	8.06	128.36	10	2	1238.94
448	9	5.55	140.77	9	3	599.66
449	5	2.70	104.30	7	3	348.77
450	3	4.03	73.14	5	0	415.497
451	6	2.47	108.39	5	3	477.40
452	2	6.55	84.23	4	0	505.699
453	7	5.68	40.46	2	2	442.659
454	4	4.76	86.63	4	3	399.462
455	8	3.39	81.00	5	3	413.489
456	8	4.35	91.51	6	3	463.582
457	11	10.33	68.28	4	0	536.797
458	4	5.73	71.09	3	2	431.55
459	6	5.46	71.44	4	1	442.90
460	5	0.39	98.74	4	3	361.442
461	7	4.98	62.30	3	1	459.565
462	9	4.47	82.88	8	1	530.45
463	11	7.13	241.96	14	4	1030.303
464	1	3.97	33.12	2	1	349.518
465	13	2.92	224.45	10	5	807.890
466	3	-1.57	148.77	9	4	297.271
467	11	-0.25	120.39	9	2	451.49
468	3	4.07	40.71	2	2	337.85
469	7	4.74	90.82	5	4	561.094
470	5	4.04	80.34	7	1	547.67
471	8	6.37	80.65	5	2	527.669
472	3	2.63	61.02	3	2	332.407
473	7	5.71	80.65	4	2	518.423
474	3	3.29	75.11	5	2	349.77
475	96	-17.48	1319.63	50	47	3057.604
476	70	-8.31	1032.32	38	36	2605.986
477	6	2.70	103.17	7	2	414.469
478	5	3.36	99.16	6	2	415.432
479	2	2.64	86.69	4	1	369.428
480	6	4.46	65.78	3	1	384.277
481	4	2.48	131.42	7	3	406.446
482	5	3.06	68.10	6	1	490.559
483	16	4.62	91.92	4	2	883.36
484	5	1.07	108.39	5	3	389.87
485	4	2.40	96.25	3	4	362.42
486	15	1.62	194.92	8	8	806.957
487	9	3.21	63.69	5	1	431.536
488	4	6.43	57.53	3	2	408.92
489	78	-18.70	1181.04	46	43	2660.088
490	75	-17.14	1143.74	44	42	2588.025
491	7	4.00	62.73	5	2	339.46
492	4	5.11	62.40	2	1	438.475
493	13	5.26	69.37	4	0	721.31
494	78	-18.70	1181.04	46	43	2660.088
495	8	4.66	98.78	5	2	501.514
496	11	4.62	91.92	4	2	940.26
497	28	5.89	88.51	7	3	1377.996
498	7	3.94	66.24	4	0	355.317
499	2	4.77	75.60	4	1	473.36
500	4	6.20	97.78	7	2	506.658
501	5	3.63	99.16	5	1	440.507
502	3	3.27	94.22	6	2	438.491
503	3	3.73	73.10	5	2	315.380
504	91	-17.14	1143.74	44	42	3562.64
505	1	1.39	151.83	7	3	371.345
506	12	6.76	172.03	10	3	868.45
507	3	5.86	79.11	5	0	470.532
508	4	7.31	95.32	4	3	510.15
509	14	3.41	117.20	6	3	505.571
510	5	2.81	101.21	4	2	441.47
511	5	2.64	67.59	5	1	433.431
512	5	3.94	46.61	2	0	361.47
513	7	4.81	91.75	6	0	456.52
514	7	2.67	153.42	8	2	461.47
515	0	2.53	90.43	5	0	266.64
516	14	6.61	44.76	3	0	376.537
517	7	2.98	89.80	4	2	434.492
518	5	5.68	107.25	7	2	405.43
519	4	2.37	44.70	3	1	259.353
520	2	3.27	66.89	2	2	369.424
521	5	3.18	102.06	5	2	615.404
522	6	3.78	87.30	3	3	469.412
523	7	1.40	92.63	6	2	396.495
524	6	2.99	135.78	7	3	506.29
525	4	2.13	76.02	3	2	417.307
526	6	2.42	76.90	5	0	384.436
527	3	4.58	44.62	5	0	375.55
528	6	1.96	104.18	6	3	499.619
529	2	2.44	90.23	6	3	401.84
530	7	0.02	173.14	9	4	534.621
531	8	4.75	80.24	6	1	417.513
532	4	4.92	62.22	3	2	368.436
533	6	3.86	102.07	6	3	490.63
534	5	5.46	110.86	6	2	519.56
535	9	5.85	121.65	7	2	568.71
536	4	3.43	67.25	5	2	409.530
537	7	7.33	75.93	4	1	610.73
538	6	4.24	78.79	5	3	425.432
539	8	3.58	74.30	6	0	447.487
540	4	1.84	88.08	6	1	359.81
541	38	-3.50	731.97	43	25	2083.279
542	8	3.17	100.96	9	2	734.909
543	4	2.32	73.39	6	2	382.49
544	3	3.42	89.33	5	2	421.504
545	9	2.25	110.85	5	3	561.727
